Source,Target,capacity,line_eff,line_len,line_carrier
AC,RO,694.4247490387726,0.997181151157545,304.87987760333334,0
AL,BA,9740.762027947145,0.9981534425945288,31.62992497,0
AL,PE,6690.456466794476,0.9978161169939428,134.43227641857143,0
AL,SE,9677.314272048832,0.9986627381091394,69.91994021166666,0
AM,PA,2650.803484358465,0.9991325462495484,255.3215174566667,0
AM,RR,2187.8536516659506,0.9997017657924684,395.2259867,0
AP,PA,925.89966538503,0.997181151157545,84.42337441,0
BA,ES,1093.9268258329753,0.9994035315849366,289.9246639,0
BA,GO,3113.7533170509805,0.9989970535818544,176.9688375,0
BA,MG,6563.560954997852,0.9994035315849366,287.1887699216667,0
BA,PE,3281.780477498926,0.9994035315849366,276.0409283,0
BA,PI,6563.560954997852,0.9994035315849366,281.20558306666663,0
BA,SE,2419.328568012208,0.9986627381091394,193.96424235333333,0
BA,TO,231.47491634625752,0.997181151157545,232.6548031,0
CE,PB,1556.8766585254905,0.9979219446333422,154.38509386333334,0
CE,PE,1788.3515748717475,0.9977367462643928,124.0956574,0
CE,PI,7257.985704036624,0.9986627381091392,199.44446463444444,0
CE,RN,4670.629975576471,0.9981907218704704,137.60653681125,0
DF,GO,8588.966473027605,0.998820456972858,151.0085469,0
DF,MG,2187.8536516659506,0.9994035315849366,291.8870702,0
ES,MG,4265.548871970521,0.9985533458936904,145.16463300166666,0
ES,RJ,1041.637123558159,0.9987471782922422,123.9201566,0
GO,MG,15846.95217706423,0.9987494834841846,114.6129864,0
GO,MS,462.94983269251503,0.997181151157545,138.08768945499995,0
GO,MT,3976.2052265376974,0.9982923413712408,273.6556479,0
GO,TO,3513.255393845184,0.9988479364780888,197.0747765,0
MA,PA,4607.182219678159,0.9989590554994582,181.737945294,0
MA,PI,6858.483627242422,0.9981913240790866,178.75967020727273,0
MA,TO,2187.8536516659506,0.9994035315849366,344.6114525,0
MG,MS,847.1369339250559,0.9992297670260027,142.4069094,0
MG,RJ,5938.162988669139,0.9991290132923328,199.2023012,0
MG,SP,27113.960912413542,0.999159421412759,200.3704989887097,0
MS,PR,231.47491634625752,0.997181151157545,226.0668525,0
MS,SP,12785.816740335811,0.9987745190552344,116.07539209611112,0
MT,PA,3513.255393845184,0.9988479364780888,83.21199651,0
MT,RO,694.4247490387726,0.997181151157545,345.009367,0
PA,TO,4375.707303331901,0.9994035315849366,353.8523834,0
PB,PE,4271.127898782268,0.9975852203261616,116.63485148545456,0
PB,RN,3113.7533170509805,0.9979219446333422,173.78169443000002,0
PE,SE,1093.9268258329753,0.9994035315849366,195.0731904,0
PI,TO,3281.780477498926,0.9994035315849366,384.2780852233333,0
PR,SC,12706.288260097754,0.998336975062164,147.80590025625,0
PR,SP,21029.32112176536,0.998710818543802,239.05635954210524,0
RJ,SP,6795.035871344109,0.9990860486667378,163.07210665999995,0
RS,SC,15301.192083656157,0.99808423884802,142.36818534869565,0
GO,MA,4000.0,1.0,1467.01972,1
MG,PA,4000.0,1.0,2082.736285,1
PA,RJ,4000.0,1.0,2552.096722,1
PR,SP,6300.0,1.0,792.1160409,1
RO,SP,6300.0,1.0,2403.865337,1
