Epoch, Train Loss, Validation Loss
1,2.3850588162234034,10.467527423976655
2,2.2188475445798463,10.476305911703909
3,2.1847021969030465,4.360431185474768
4,2.1199173439020873,4.995365408078804
5,2.1177936481520407,1.9840440822701397
6,2.101496957390102,1.9372454184969121
7,1.9027559343675375,5.117667349418579
8,1.4942743709705872,1.9017300101801762
9,0.9805061022451129,1.4329094540922644
10,0.5959699544160466,0.9210337398390391
11,0.45220702026208026,0.7721470072915079
12,0.3343734147702679,0.6580697989610346
13,0.2765517883741014,0.4894793596124284
14,0.24211859132878596,0.45381733087353826
15,0.2173597031550347,0.5594440694563426
16,0.19771924862118972,0.2653812207630009
17,0.1787520564800245,0.24482557309281788
18,0.1678300771058519,0.31952763933119743
19,0.1629060220993406,0.32866872851403683
20,0.1514664177382413,0.29540910975179
21,0.1469392067015787,0.24779378845847752
22,0.14014903254384195,0.21545218271755215
23,0.1359269481863874,0.2223275222185875
24,0.13239114602997104,0.2143237646940001
25,0.12980709457845852,0.2067214666190799
26,0.12507859057477014,0.18541052608442016
27,0.12500339253819992,0.22517178987548597
28,0.12243326737200515,0.1793173222702377
29,0.1196691885794367,0.1783956167282275
30,0.11719173611826515,0.18082165953299872
31,0.1164571596009891,0.19487723100014642
32,0.11563863076995112,0.16645444959520597
33,0.11258830710868253,0.16514203106655914
34,0.11265423678899977,0.1606566403874342
35,0.11184184321067304,0.16061097081219863
36,0.1097041993490955,0.1616254588188517
37,0.10929791856727313,0.16719086882266648
38,0.10886330411217181,0.16199461639275625
39,0.10556485440049491,0.16421782037242993
40,0.10589480320639816,0.16677624125249535
41,0.10440582371583124,0.17703961440288793
42,0.0994500160884105,0.15489521916538115
43,0.09583749006790097,0.14693665046150506
44,0.0938448632594821,0.14516381217649482
45,0.09319828852080314,0.1440061729775583
46,0.09246969798631903,0.14370089261669255
47,0.0923301163331805,0.14299830787264295
48,0.09190495680121717,0.1431597596895792
49,0.09124977618697125,0.14203382828032546
50,0.09053623968352997,0.14210407091448352
51,0.09028791349770376,0.14313218722447746
52,0.08942665373719369,0.14186283858786203
53,0.09005587513190892,0.1417501007429523
54,0.08973663528124895,0.14129756854045708
55,0.08904797965469774,0.14207003798631057
56,0.0885235778659308,0.14176776865198404
57,0.08874683412472902,0.1419459123983074
58,0.08772069070550927,0.1418803033389325
59,0.0872855648094196,0.14166997075599685
60,0.08719192443900023,0.14234272568037246
61,0.08677976059204182,0.14158320526717305
62,0.08666616282116055,0.1413703149034917
63,0.08625512324725466,0.1410706010345748
64,0.08598754550839875,0.14093076063300713
65,0.08595614239985405,0.14063830702153102
66,0.08642046596505205,0.14072766743375548
67,0.08578989361000644,0.1406504657923929
68,0.08635349210245247,0.1406323748773853
69,0.08537945153143388,0.14064929105205629
70,0.08563784791702597,0.14082924812145334
71,0.08526940837992038,0.14067165451816063
72,0.08604377532774088,0.14044384463507872
73,0.08538029444802976,0.14040605319316227
74,0.08554083083071241,0.14039434416075647
75,0.08522784542928326,0.14036680590135012
76,0.08548114186154333,0.14034017338309385
77,0.08489478749134295,0.14039935192401234
78,0.0855649928951764,0.14038960892653193
79,0.08519194747888749,0.14039227056729287
80,0.08500258865324463,0.14033921911385763
81,0.08595098837190532,0.14032878743747584
82,0.0852104222420689,0.14037483189179212
83,0.08501081029465257,0.1403782955468884
84,0.08520722943633752,0.14037813503304847
85,0.08590544644747503,0.14037452374291487
86,0.08465685475292202,0.1403718279644258
87,0.08500318887920157,0.14037117594268106
88,0.08554069677172084,0.14037150538526222
89,0.085418479318662,0.14037434610966462
90,0.08508541167946596,0.14037979798370354
91,0.0855256695024838,0.14038364352467142
