Epoch, Train Loss, Validation Loss
1,1.6379282024593307,1.3419356410774688
2,0.5003187430770825,0.805337523939717
3,0.30838029022604724,0.6883940151028108
4,0.2022130242025364,0.6293084683929969
5,0.16343757662856837,0.7420418784362295
6,0.1468907929404057,0.637066820462188
7,0.1395368955767689,0.642554833183316
8,0.13395091124204464,0.6225383850079994
9,0.1307649220253501,0.6120700780661111
10,0.12563984746540124,0.5058969733431664
11,0.12351626287861243,0.5267042082796353
12,0.12101262648590942,0.5070583388667019
13,0.11920671420924156,0.4184902140181463
14,0.11792079010309553,0.4767407240379101
15,0.11463578189255465,0.4218109371380309
16,0.11319376433041142,0.4840136990404627
17,0.11019881527935335,0.41522971296766764
18,0.11026353432565382,0.3757331532680083
19,0.10734778342891133,0.32799385413756216
20,0.10641077174895033,0.26928882138606
21,0.10664640364870064,0.277616408204724
22,0.104598482883324,0.2588855128467006
23,0.10355821519911813,0.23010029446857946
24,0.10198469916581619,0.24439701715401788
25,0.10082981168655561,0.24459451002851743
26,0.09901986420883918,0.24003334911229582
27,0.09870793704280252,0.23652491142578982
28,0.09723930553010268,0.24509883137217603
29,0.09598990130189695,0.2318571871897566
30,0.08763598446403839,0.17409053634671856
31,0.08471037804394524,0.1694361536702459
32,0.0821127663661752,0.1663789570336627
33,0.0811197016072453,0.16384995261177415
34,0.07967800298268189,0.1622050256278005
35,0.07951612317776395,0.1608869423090465
36,0.07744793157457575,0.15932587281126287
37,0.0775131732993986,0.15859219876299774
38,0.07683993123651695,0.15725456827803197
39,0.07608341176407217,0.1568445254855682
40,0.07546527610930812,0.15574840628909092
41,0.07450765573741856,0.15587896741416413
42,0.07427807667660603,0.15548343618022645
43,0.07349471014970921,0.1551277518347746
44,0.07241762240076774,0.15584260878762848
45,0.07286506682889604,0.1556279989490543
46,0.07135890005318002,0.1554416805800927
47,0.0714236032146265,0.1551668050467588
48,0.0709327181492801,0.15516184753704562
49,0.0698697879882007,0.15488067482341494
50,0.06981696666121895,0.15526246115303083
51,0.06959687887468657,0.15559422305314702
52,0.06862555202488753,0.15483697924001316
53,0.06838352712450126,0.15545870629991057
54,0.06735852822148966,0.15474779978654576
55,0.06787065596112024,0.15490444960759786
56,0.06640269731768991,0.15526860312523813
57,0.06600308148614102,0.1549707750450284
58,0.06603369087268174,0.15600638041817544
59,0.06550314661765261,0.15594234728440515
60,0.06473585668230795,0.15595706647856183
61,0.0635241939834725,0.15398363048384775
62,0.06291013632926416,0.154079491342669
63,0.06283885533663387,0.15403447515102456
64,0.06278717234436898,0.15395430280434258
65,0.062312846156141716,0.15400692595235432
66,0.062344251880304555,0.15412441750386643
67,0.06202244314571266,0.15389443452780446
68,0.06214982851569426,0.15400503450088548
69,0.06239116881217075,0.15379099931890078
70,0.0621284781973785,0.15394890167613579
71,0.06245725095074505,0.153765915472274
72,0.06256701146086899,0.15348093273707908
73,0.061923224510571695,0.15349975807713734
74,0.061461145130521276,0.15393629713412096
75,0.0614732880790713,0.15392916405944107
76,0.061228371803056826,0.1536048142263292
77,0.06106106729833853,0.153486497751066
78,0.06169099375038642,0.15334627632302597
79,0.06112996377945244,0.15328136746837295
80,0.06107075963541002,0.15340066744644273
81,0.06111634697173101,0.15349450189438288
82,0.060739966015139285,0.1533854609622738
83,0.06085315084660261,0.15350863846654728
84,0.06107520789011202,0.15334457041016405
85,0.060734591159184066,0.1533832437772135
86,0.0608390900957356,0.15346378187919707
87,0.0604428150653237,0.15339317507195194
88,0.0605045806479335,0.15342113242623678
89,0.060556816301036834,0.15338491705904211
